Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
DE GENDT Thomas,BEL,LOTTO-SOUDAL,18,80,76h 36' 28'',+ 02h 22' 57'',8577
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,18,81,76h 37' 29'',+ 02h 23' 58'',8638
HOLLENSTEIN Reto,SUI,IAM CYCLING,18,82,76h 39' 19'',+ 02h 25' 48'',8748
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,18,83,76h 40' 38'',+ 02h 27' 07'',8827
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,84,76h 40' 49'',+ 02h 27' 18'',8838
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,18,85,76h 41' 53'',+ 02h 28' 22'',8902
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,18,86,76h 42' 54'',+ 02h 29' 23'',8963
GOLAS Michal,POL,ETIXX-QUICK STEP,18,87,76h 44' 27'',+ 02h 30' 56'',9056
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,18,88,76h 44' 40'',+ 02h 31' 09'',9069
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,89,76h 48' 11'',+ 02h 34' 40'',9280
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,18,90,76h 49' 26'',+ 02h 35' 55'',9355
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,91,76h 49' 35'',+ 02h 36' 04'',9364
OSS Daniel,ITA,BMC RACING TEAM,18,92,76h 50' 31'',+ 02h 37' 00'',9420
TULIK ANGÉLO,FRA,TEAM EUROPCAR,18,93,76h 51' 24'',+ 02h 37' 53'',9473
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",18,94,76h 52' 26'',+ 02h 38' 55'',9535
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,18,95,76h 53' 23'',+ 02h 39' 52'',9592
RAST Gregory,SUI,TREK FACTORY RACING,18,96,76h 54' 48'',+ 02h 41' 17'',9677
DENNIS Rohan,AUS,BMC RACING TEAM,18,97,76h 55' 51'',+ 02h 42' 20'',9740
CARUSO Gianpaolo,ITA,TEAM KATUSHA,18,98,76h 56' 01'',+ 02h 42' 30'',9750
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,18,99,76h 57' 38'',+ 02h 44' 07'',9847
VOSS Paul,GER,BORA-ARGON 18,18,100,76h 57' 53'',+ 02h 44' 22'',9862
ROY Jérémy,FRA,FDJ,18,101,76h 58' 36'',+ 02h 45' 05'',9905
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,18,102,76h 59' 32'',+ 02h 46' 01'',9961
YATES Simon,GBR,ORICA GREENEDGE,18,103,77h 00' 05'',+ 02h 46' 34'',9994
ELMIGER Martin,SUI,IAM CYCLING,18,104,77h 00' 40'',+ 02h 47' 09'',10029
CUMMINGS Stephen,GBR,MTN-QHUBEKA,18,105,77h 00' 49'',+ 02h 47' 18'',10038
CURVERS Roy,NED,TEAM GIANT-ALPECIN,18,106,77h 02' 54'',+ 02h 49' 23'',10163
HUZARSKI Bartosz,POL,BORA-ARGON 18,18,107,77h 03' 18'',+ 02h 49' 47'',10187
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,18,108,77h 03' 29'',+ 02h 49' 58'',10198
MALORI Adriano,ITA,MOVISTAR TEAM,18,109,77h 05' 45'',+ 02h 52' 14'',10334
ANDERSEN Michael Valgren,DEN,TINKOFF-SAXO,18,110,77h 08' 30'',+ 02h 54' 59'',10499
VAUGRENARD Benoît,FRA,FDJ,18,111,77h 09' 32'',+ 02h 56' 01'',10561
VERMOTE Julien,BEL,ETIXX-QUICK STEP,18,112,77h 13' 42'',+ 03h 00' 11'',10811
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,18,113,77h 14' 09'',+ 03h 00' 38'',10838
COQUARD Bryan,FRA,TEAM EUROPCAR,18,114,77h 15' 42'',+ 03h 02' 11'',10931
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,115,77h 16' 23'',+ 03h 02' 52'',10972
HANSEN Adam,AUS,LOTTO-SOUDAL,18,116,77h 18' 18'',+ 03h 04' 47'',11087
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,18,117,77h 19' 32'',+ 03h 06' 01'',11161
QUINZIATO Manuel,ITA,BMC RACING TEAM,18,118,77h 19' 45'',+ 03h 06' 14'',11174
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",18,119,77h 20' 16'',+ 03h 06' 45'',11205
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,18,120,77h 21' 10'',+ 03h 07' 39'',11259
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,18,121,77h 21' 34'',+ 03h 08' 03'',11283
KRISTOFF Alexander,NOR,TEAM KATUSHA,18,122,77h 24' 20'',+ 03h 10' 49'',11449
POZZATO Filippo,ITA,LAMPRE - MERIDA,18,123,77h 24' 44'',+ 03h 11' 13'',11473
HALLER Marco,AUT,TEAM KATUSHA,18,124,77h 24' 52'',+ 03h 11' 21'',11481
BONO Matteo,ITA,LAMPRE - MERIDA,18,125,77h 25' 11'',+ 03h 11' 40'',11500
GENIEZ Alexandre,FRA,FDJ,18,126,77h 25' 44'',+ 03h 12' 13'',11533
STANNARD Ian,GBR,TEAM SKY,18,127,77h 26' 01'',+ 03h 12' 30'',11550
WELLENS Tim,BEL,LOTTO-SOUDAL,18,128,77h 26' 03'',+ 03h 12' 32'',11552
GREIPEL André,GER,LOTTO-SOUDAL,18,129,77h 26' 48'',+ 03h 13' 17'',11597
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",18,130,77h 26' 51'',+ 03h 13' 20'',11600
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",18,131,77h 27' 16'',+ 03h 13' 45'',11625
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,18,132,77h 27' 36'',+ 03h 14' 05'',11645
TOSATTO Matteo,ITA,TINKOFF-SAXO,18,133,77h 27' 39'',+ 03h 14' 08'',11648
GERARD Arnaud,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,134,77h 27' 54'',+ 03h 14' 23'',11663
DEMARE Arnaud,FRA,FDJ,18,135,77h 28' 38'',+ 03h 15' 07'',11707
ROWE Luke,GBR,TEAM SKY,18,136,77h 31' 09'',+ 03h 17' 38'',11858
GENE Yohann,FRA,TEAM EUROPCAR,18,137,77h 31' 20'',+ 03h 17' 49'',11869
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",18,138,77h 32' 08'',+ 03h 18' 37'',11917
SERPA SANTANDER José,COL,LAMPRE - MERIDA,18,139,77h 33' 28'',+ 03h 19' 57'',11997
TIMMER Albert,NED,TEAM GIANT-ALPECIN,18,140,77h 33' 47'',+ 03h 20' 16'',12016
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,18,141,77h 35' 15'',+ 03h 21' 44'',12104
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,18,142,77h 36' 56'',+ 03h 23' 25'',12205
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,18,143,77h 39' 52'',+ 03h 26' 21'',12381
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,18,144,77h 40' 14'',+ 03h 26' 43'',12403
GAUDIN Damien,FRA,AG2R LA MONDIALE,18,145,77h 42' 01'',+ 03h 28' 30'',12510
GUARNIERI Jacopo,ITA,TEAM KATUSHA,18,146,77h 44' 12'',+ 03h 30' 41'',12641
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,18,147,77h 46' 42'',+ 03h 33' 11'',12791
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,18,148,77h 46' 57'',+ 03h 33' 26'',12806
SIEBERG Marcel,GER,LOTTO-SOUDAL,18,149,77h 48' 02'',+ 03h 34' 31'',12871
DURBRIDGE Luke,AUS,ORICA GREENEDGE,18,150,77h 48' 13'',+ 03h 34' 42'',12882
MATTHEWS Michael,AUS,ORICA GREENEDGE,18,151,77h 49' 43'',+ 03h 36' 12'',12972
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,18,152,77h 49' 57'',+ 03h 36' 26'',12986
WEENING Pieter,NED,ORICA GREENEDGE,18,153,77h 50' 09'',+ 03h 36' 38'',12998
DEVOLDER Stijn,BEL,TREK FACTORY RACING,18,154,77h 54' 18'',+ 03h 40' 47'',13247
FARRAR Tyler,USA,MTN-QHUBEKA,18,155,77h 55' 42'',+ 03h 42' 11'',13331
CIMOLAI Davide,ITA,LAMPRE - MERIDA,18,156,77h 59' 09'',+ 03h 45' 38'',13538
BRÄNDLE Matthias,AUT,IAM CYCLING,18,157,78h 00' 46'',+ 03h 47' 15'',13635
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",18,158,78h 04' 37'',+ 03h 51' 06'',13866
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,18,159,78h 06' 36'',+ 03h 53' 05'',13985
TUFT Svein,CAN,ORICA GREENEDGE,18,160,78h 11' 18'',+ 03h 57' 47'',14267
CHAVANEL Sébastien,FRA,FDJ,18,161,78h 20' 09'',+ 04h 06' 38'',14798
FROOME Christopher,GBR,TEAM SKY,19,1,78h 37' 34'',0,0
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,19,2,78h 40' 12'',+ 02' 38'',158
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,19,3,78h 42' 59'',+ 05' 25'',325
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,19,4,78h 44' 18'',+ 06' 44'',404
CONTADOR Alberto,ESP,TINKOFF-SAXO,19,5,78h 45' 30'',+ 07' 56'',476
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,19,6,78h 46' 29'',+ 08' 55'',535
FRANK Mathias,SUI,IAM CYCLING,19,7,78h 50' 13'',+ 12' 39'',759
MOLLEMA Bauke,NED,TREK FACTORY RACING,19,8,78h 50' 56'',+ 13' 22'',802
BARDET Romain,FRA,AG2R LA MONDIALE,19,9,78h 51' 42'',+ 14' 08'',848
ROLLAND Pierre,FRA,TEAM EUROPCAR,19,10,78h 55' 01'',+ 17' 27'',1047
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,19,11,78h 55' 59'',+ 18' 25'',1105
SANCHEZ Samuel,ESP,BMC RACING TEAM,19,12,78h 57' 01'',+ 19' 27'',1167
PAUWELS Serge,BEL,MTN-QHUBEKA,19,13,79h 04' 22'',+ 26' 48'',1608
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,19,14,79h 04' 34'',+ 27' 00'',1620
THOMAS Geraint,GBR,TEAM SKY,19,15,79h 04' 58'',+ 27' 24'',1644
PINOT Thibaut,FRA,FDJ,19,16,79h 18' 14'',+ 40' 40'',2440
KREUZIGER Roman,CZE,TINKOFF-SAXO,19,17,79h 35' 23'',+ 57' 49'',3469
CHEREL Mikael,FRA,AG2R LA MONDIALE,19,18,79h 37' 00'',+ 59' 26'',3566
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,19,19,79h 37' 16'',+ 59' 42'',3582
BAKELANTS Jan,BEL,AG2R LA MONDIALE,19,20,79h 49' 55'',+ 01h 12' 21'',4341
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,19,21,79h 52' 22'',+ 01h 14' 48'',4488
KANGERT Tanel,EST,ASTANA PRO TEAM,19,22,79h 53' 34'',+ 01h 16' 00'',4560
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,19,23,79h 57' 08'',+ 01h 19' 34'',4774
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,19,24,79h 57' 09'',+ 01h 19' 35'',4775
BARTA Jan,CZE,BORA-ARGON 18,19,25,79h 57' 23'',+ 01h 19' 49'',4789
GALLOPIN Tony,FRA,LOTTO-SOUDAL,19,26,79h 58' 37'',+ 01h 21' 03'',4863
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,19,27,79h 59' 27'',+ 01h 21' 53'',4913
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,19,28,80h 03' 25'',+ 01h 25' 51'',5151
JUNGELS Bob,LUX,TREK FACTORY RACING,19,29,80h 09' 07'',+ 01h 31' 33'',5493
GAUTIER Cyril,FRA,TEAM EUROPCAR,19,30,80h 09' 44'',+ 01h 32' 10'',5530
MAJKA Rafal,POL,TINKOFF-SAXO,19,31,80h 10' 48'',+ 01h 33' 14'',5594
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,19,32,80h 12' 07'',+ 01h 34' 33'',5673
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,19,33,80h 14' 44'',+ 01h 37' 10'',5830
ROGERS Michael,AUS,TINKOFF-SAXO,19,34,80h 21' 08'',+ 01h 43' 34'',6214
SICARD Romain,FRA,TEAM EUROPCAR,19,35,80h 21' 12'',+ 01h 43' 38'',6218
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,19,36,80h 24' 04'',+ 01h 46' 30'',6390
ROCHE Nicolas,IRL,TEAM SKY,19,37,80h 26' 37'',+ 01h 49' 03'',6543
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,19,38,80h 28' 06'',+ 01h 50' 32'',6632
BAK Lars,DEN,LOTTO-SOUDAL,19,39,80h 29' 33'',+ 01h 51' 59'',6719
SAGAN Peter,SVK,TINKOFF-SAXO,19,40,80h 32' 48'',+ 01h 55' 14'',6914
SCARPONI Michele,ITA,ASTANA PRO TEAM,19,41,80h 35' 20'',+ 01h 57' 46'',7066
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,19,42,80h 36' 09'',+ 01h 58' 35'',7115
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,19,43,80h 37' 19'',+ 01h 59' 45'',7185
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",19,44,80h 41' 15'',+ 02h 03' 41'',7421
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,19,45,80h 43' 12'',+ 02h 05' 38'',7538
VOECKLER Thomas,FRA,TEAM EUROPCAR,19,46,80h 44' 03'',+ 02h 06' 29'',7589
CARUSO Damiano,ITA,BMC RACING TEAM,19,47,80h 46' 18'',+ 02h 08' 44'',7724
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,19,48,80h 46' 40'',+ 02h 09' 06'',7746
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,19,49,80h 47' 18'',+ 02h 09' 44'',7784
POELS Wouter,NED,TEAM SKY,19,50,80h 49' 06'',+ 02h 11' 32'',7892
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,19,51,80h 49' 25'',+ 02h 11' 51'',7911
SCHÄR Michael,SUI,BMC RACING TEAM,19,52,80h 49' 56'',+ 02h 12' 22'',7942
YATES Adam,GBR,ORICA GREENEDGE,19,53,80h 51' 21'',+ 02h 13' 47'',8027
PORTE Richie,AUS,TEAM SKY,19,54,80h 53' 06'',+ 02h 15' 32'',8132
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,19,55,80h 54' 43'',+ 02h 17' 09'',8229
GRIVKO Andriy,UKR,ASTANA PRO TEAM,19,56,80h 55' 59'',+ 02h 18' 25'',8305
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,57,80h 56' 13'',+ 02h 18' 39'',8319
CHAVANEL Sylvain,FRA,IAM CYCLING,19,58,80h 57' 36'',+ 02h 20' 02'',8402
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,19,59,80h 59' 52'',+ 02h 22' 18'',8538
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,19,60,81h 00' 05'',+ 02h 22' 31'',8551
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,19,61,81h 00' 15'',+ 02h 22' 41'',8561
CLEMENT Stef,NED,IAM CYCLING,19,62,81h 00' 28'',+ 02h 22' 54'',8574
WYSS Danilo,SUI,BMC RACING TEAM,19,63,81h 01' 40'',+ 02h 24' 06'',8646
WYSS Marcel,SUI,IAM CYCLING,19,64,81h 04' 47'',+ 02h 27' 13'',8833
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,19,65,81h 07' 54'',+ 02h 30' 20'',9020
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,19,66,81h 09' 37'',+ 02h 32' 03'',9123
LADAGNOUS Matthieu,FRA,FDJ,19,67,81h 11' 15'',+ 02h 33' 41'',9221
KONIG Leopold,CZE,TEAM SKY,19,68,81h 12' 55'',+ 02h 35' 21'',9321
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",19,69,81h 14' 01'',+ 02h 36' 27'',9387
DE KORT Koen,NED,TEAM GIANT-ALPECIN,19,70,81h 15' 48'',+ 02h 38' 14'',9494
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,19,71,81h 20' 07'',+ 02h 42' 33'',9753
RIBLON Christophe,FRA,AG2R LA MONDIALE,19,72,81h 20' 19'',+ 02h 42' 45'',9765
DE GENDT Thomas,BEL,LOTTO-SOUDAL,19,73,81h 21' 21'',+ 02h 43' 47'',9827
MACHADO Tiago,POR,TEAM KATUSHA,19,74,81h 22' 16'',+ 02h 44' 42'',9882
WESTRA Lieuwe,NED,ASTANA PRO TEAM,19,75,81h 22' 55'',+ 02h 45' 21'',9921
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,19,76,81h 23' 01'',+ 02h 45' 27'',9927
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,77,81h 23' 41'',+ 02h 46' 07'',9967
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,19,78,81h 23' 53'',+ 02h 46' 19'',9979
HOLLENSTEIN Reto,SUI,IAM CYCLING,19,79,81h 24' 12'',+ 02h 46' 38'',9998
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,19,80,81h 25' 55'',+ 02h 48' 21'',10101
DURASEK Kristijan,CRO,LAMPRE - MERIDA,19,81,81h 26' 37'',+ 02h 49' 03'',10143
BUCHMANN Emanuel,GER,BORA-ARGON 18,19,82,81h 26' 40'',+ 02h 49' 06'',10146
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,19,83,81h 32' 07'',+ 02h 54' 33'',10473
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,19,84,81h 32' 12'',+ 02h 54' 38'',10478
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,85,81h 32' 54'',+ 02h 55' 20'',10520
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,86,81h 33' 04'',+ 02h 55' 30'',10530
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,19,87,81h 33' 58'',+ 02h 56' 24'',10584
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,19,88,81h 34' 19'',+ 02h 56' 45'',10605
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,19,89,81h 34' 59'',+ 02h 57' 25'',10645
TULIK ANGÉLO,FRA,TEAM EUROPCAR,19,90,81h 36' 17'',+ 02h 58' 43'',10723
GOLAS Michal,POL,ETIXX-QUICK STEP,19,91,81h 36' 32'',+ 02h 58' 58'',10738
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,19,92,81h 36' 45'',+ 02h 59' 11'',10751
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,93,81h 41' 04'',+ 03h 03' 30'',11010
OSS Daniel,ITA,BMC RACING TEAM,19,94,81h 42' 00'',+ 03h 04' 26'',11066
VOSS Paul,GER,BORA-ARGON 18,19,95,81h 42' 46'',+ 03h 05' 12'',11112
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",19,96,81h 43' 55'',+ 03h 06' 21'',11181
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,19,97,81h 45' 28'',+ 03h 07' 54'',11274
CUMMINGS Stephen,GBR,MTN-QHUBEKA,19,98,81h 45' 42'',+ 03h 08' 08'',11288
RAST Gregory,SUI,TREK FACTORY RACING,19,99,81h 46' 53'',+ 03h 09' 19'',11359
DENNIS Rohan,AUS,BMC RACING TEAM,19,100,81h 47' 20'',+ 03h 09' 46'',11386
CARUSO Gianpaolo,ITA,TEAM KATUSHA,19,101,81h 47' 30'',+ 03h 09' 56'',11396
ROY Jérémy,FRA,FDJ,19,102,81h 50' 05'',+ 03h 12' 31'',11551
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,19,103,81h 51' 01'',+ 03h 13' 27'',11607
ELMIGER Martin,SUI,IAM CYCLING,19,104,81h 52' 09'',+ 03h 14' 35'',11675
YATES Simon,GBR,ORICA GREENEDGE,19,105,81h 52' 10'',+ 03h 14' 36'',11676
CURVERS Roy,NED,TEAM GIANT-ALPECIN,19,106,81h 54' 23'',+ 03h 16' 49'',11809
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,19,107,81h 54' 58'',+ 03h 17' 24'',11844
HUZARSKI Bartosz,POL,BORA-ARGON 18,19,108,81h 55' 23'',+ 03h 17' 49'',11869
MALORI Adriano,ITA,MOVISTAR TEAM,19,109,81h 57' 14'',+ 03h 19' 40'',11980
COQUARD Bryan,FRA,TEAM EUROPCAR,19,110,82h 00' 35'',+ 03h 23' 01'',12181
VAUGRENARD Benoît,FRA,FDJ,19,111,82h 01' 01'',+ 03h 23' 27'',12207
HANSEN Adam,AUS,LOTTO-SOUDAL,19,112,82h 03' 11'',+ 03h 25' 37'',12337
VERMOTE Julien,BEL,ETIXX-QUICK STEP,19,113,82h 05' 47'',+ 03h 28' 13'',12493
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,19,114,82h 06' 14'',+ 03h 28' 40'',12520
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,115,82h 08' 28'',+ 03h 30' 54'',12654
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",19,116,82h 10' 50'',+ 03h 33' 16'',12796
QUINZIATO Manuel,ITA,BMC RACING TEAM,19,117,82h 11' 14'',+ 03h 33' 40'',12820
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,19,118,82h 11' 37'',+ 03h 34' 03'',12843
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,19,119,82h 12' 39'',+ 03h 35' 05'',12905
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,19,120,82h 13' 39'',+ 03h 36' 05'',12965
POZZATO Filippo,ITA,LAMPRE - MERIDA,19,121,82h 16' 13'',+ 03h 38' 39'',13119
KRISTOFF Alexander,NOR,TEAM KATUSHA,19,122,82h 16' 25'',+ 03h 38' 51'',13131
BONO Matteo,ITA,LAMPRE - MERIDA,19,123,82h 16' 40'',+ 03h 39' 06'',13146
HALLER Marco,AUT,TEAM KATUSHA,19,124,82h 16' 57'',+ 03h 39' 23'',13163
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",19,125,82h 17' 01'',+ 03h 39' 27'',13167
GENIEZ Alexandre,FRA,FDJ,19,126,82h 17' 13'',+ 03h 39' 39'',13179
STANNARD Ian,GBR,TEAM SKY,19,127,82h 17' 30'',+ 03h 39' 56'',13196
WELLENS Tim,BEL,LOTTO-SOUDAL,19,128,82h 17' 32'',+ 03h 39' 58'',13198
GREIPEL André,GER,LOTTO-SOUDAL,19,129,82h 18' 53'',+ 03h 41' 19'',13279
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",19,130,82h 18' 56'',+ 03h 41' 22'',13282
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,19,131,82h 19' 05'',+ 03h 41' 31'',13291
TOSATTO Matteo,ITA,TINKOFF-SAXO,19,132,82h 19' 08'',+ 03h 41' 34'',13294
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",19,133,82h 19' 21'',+ 03h 41' 47'',13307
GERARD Arnaud,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,134,82h 19' 59'',+ 03h 42' 25'',13345
DEMARE Arnaud,FRA,FDJ,19,135,82h 20' 43'',+ 03h 43' 09'',13389
ROWE Luke,GBR,TEAM SKY,19,136,82h 22' 38'',+ 03h 45' 04'',13504
GENE Yohann,FRA,TEAM EUROPCAR,19,137,82h 22' 49'',+ 03h 45' 15'',13515
TIMMER Albert,NED,TEAM GIANT-ALPECIN,19,138,82h 25' 16'',+ 03h 47' 42'',13662
SERPA SANTANDER José,COL,LAMPRE - MERIDA,19,139,82h 25' 33'',+ 03h 47' 59'',13679
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,19,140,82h 27' 20'',+ 03h 49' 46'',13786
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,19,141,82h 28' 25'',+ 03h 50' 51'',13851
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,19,142,82h 31' 21'',+ 03h 53' 47'',14027
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,19,143,82h 32' 19'',+ 03h 54' 45'',14085
GAUDIN Damien,FRA,AG2R LA MONDIALE,19,144,82h 34' 06'',+ 03h 56' 32'',14192
GUARNIERI Jacopo,ITA,TEAM KATUSHA,19,145,82h 37' 35'',+ 04h 00' 01'',14401
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,19,146,82h 38' 26'',+ 04h 00' 52'',14452
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,19,147,82h 38' 47'',+ 04h 01' 13'',14473
SIEBERG Marcel,GER,LOTTO-SOUDAL,19,148,82h 40' 07'',+ 04h 02' 33'',14553
DURBRIDGE Luke,AUS,ORICA GREENEDGE,19,149,82h 40' 18'',+ 04h 02' 44'',14564
WEENING Pieter,NED,ORICA GREENEDGE,19,150,82h 41' 45'',+ 04h 04' 11'',14651
MATTHEWS Michael,AUS,ORICA GREENEDGE,19,151,82h 41' 48'',+ 04h 04' 14'',14654
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,19,152,82h 42' 02'',+ 04h 04' 28'',14668
DEVOLDER Stijn,BEL,TREK FACTORY RACING,19,153,82h 43' 07'',+ 04h 05' 33'',14733
FARRAR Tyler,USA,MTN-QHUBEKA,19,154,82h 47' 47'',+ 04h 10' 13'',15013
CIMOLAI Davide,ITA,LAMPRE - MERIDA,19,155,82h 51' 14'',+ 04h 13' 40'',15220
BRÄNDLE Matthias,AUT,IAM CYCLING,19,156,82h 52' 51'',+ 04h 15' 17'',15317
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",19,157,82h 56' 42'',+ 04h 19' 08'',15548
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,19,158,82h 58' 05'',+ 04h 20' 31'',15631
TUFT Svein,CAN,ORICA GREENEDGE,19,159,83h 03' 23'',+ 04h 25' 49'',15949
CHAVANEL Sébastien,FRA,FDJ,19,160,83h 12' 14'',+ 04h 34' 40'',16480
FROOME Christopher,GBR,TEAM SKY,20,1,81h 56' 33'',0,0
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,20,2,81h 57' 45'',+ 01' 12'',72
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,20,3,82h 01' 58'',+ 05' 25'',325
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,20,4,82h 05' 09'',+ 08' 36'',516
CONTADOR Alberto,ESP,TINKOFF-SAXO,20,5,82h 06' 21'',+ 09' 48'',588
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,20,6,82h 07' 20'',+ 10' 47'',647
